Nombre,Categoria,Unidad (KG/L/UD),Precio,Merma (%),Alergenos (Separados por coma)
Cordero Carrillera,Carnes/Cordero,KG,18.34,40,
Cordero Carrillera 21 Días,Carnes/Cordero,KG,23.2,41,
Cordero Carrillera 30 Días,Carnes/Cordero,KG,34.59,41,
Cordero Carrillera Adobado,Carnes/Cordero,KG,20.25,11,
Cordero Carrillera Marinado,Carnes/Cordero,KG,20.23,40,
Cordero Carrillera En Dados,Carnes/Cordero,KG,23.03,6,
Cordero Carrillera En Dados 21 Días,Carnes/Cordero,KG,26.59,10,
Cordero Carrillera En Dados 30 Días,Carnes/Cordero,KG,16.8,6,
Cordero Carrillera En Dados Adobado,Carnes/Cordero,KG,23.7,8,
Cordero Carrillera En Dados Marinado,Carnes/Cordero,KG,28.27,10,
Cordero Carrillera Picado,Carnes/Cordero,KG,12.25,3,
Cordero Carrillera Picado 21 Días,Carnes/Cordero,KG,25.87,2,
Cordero Carrillera Picado 30 Días,Carnes/Cordero,KG,32.98,3,
Cordero Carrillera Picado Marinado,Carnes/Cordero,KG,23.51,5,
Cordero Carrillera Hamburguesa 120 G (Pack 2 Ud),Carnes/Cordero,UD,23.64,0,
Cordero Carrillera Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Cordero,UD,21.78,0,
Cordero Carrillera Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Cordero,UD,18.19,2,
Cordero Carrillera Hamburguesa 180 G (Pack 2 Ud),Carnes/Cordero,UD,17.98,2,
Cordero Carrillera Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Cordero,UD,29.15,1,
Cordero Carrillera Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Cordero,UD,30.87,0,
Cordero Carrillera Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Cordero,UD,18.13,1,
Cordero Carrillera Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Cordero,UD,25.53,1,
Cordero Carrillera Brocheta (Pack 4 Ud),Carnes/Cordero,UD,21.09,0,
Cordero Carrillera Brocheta (Pack 4 Ud) 21 Días,Carnes/Cordero,UD,24.59,2,
Cordero Carrillera Brocheta (Pack 4 Ud) 30 Días,Carnes/Cordero,UD,30.66,0,
Cordero Carrillera Brocheta (Pack 4 Ud) Adobado,Carnes/Cordero,UD,18.93,1,
Cordero Carrillera Brocheta (Pack 4 Ud) Marinado,Carnes/Cordero,UD,16.06,1,
Cordero Lengua,Carnes/Cordero,KG,13.86,30,
Cordero Lengua 21 Días,Carnes/Cordero,KG,24.32,54,
Cordero Lengua 30 Días,Carnes/Cordero,KG,27.53,45,
Cordero Lengua Adobado,Carnes/Cordero,KG,18.3,37,
Cordero Lengua En Dados,Carnes/Cordero,KG,24.71,9,
Cordero Lengua En Dados 21 Días,Carnes/Cordero,KG,32.91,6,
Cordero Lengua En Dados 30 Días,Carnes/Cordero,KG,36.15,7,
Cordero Lengua En Dados Adobado,Carnes/Cordero,KG,17.06,7,
Cordero Lengua Picado,Carnes/Cordero,KG,16.09,3,
Cordero Lengua Picado 21 Días,Carnes/Cordero,KG,31.79,3,
Cordero Lengua Picado 30 Días,Carnes/Cordero,KG,21.53,3,
Cordero Hígado,Carnes/Cordero,KG,24.72,31,
Cordero Hígado 21 Días,Carnes/Cordero,KG,21.26,36,
Cordero Hígado 30 Días,Carnes/Cordero,KG,29.87,39,
Cordero Hígado Adobado,Carnes/Cordero,KG,21.75,22,
Cordero Hígado Marinado,Carnes/Cordero,KG,21.51,37,
Cordero Hígado En Dados,Carnes/Cordero,KG,14.83,10,
Cordero Hígado En Dados 21 Días,Carnes/Cordero,KG,14.36,7,
Cordero Hígado En Dados 30 Días,Carnes/Cordero,KG,39.54,6,
Cordero Hígado En Dados Adobado,Carnes/Cordero,KG,17.19,12,
Cordero Hígado Picado,Carnes/Cordero,KG,13.87,4,
Cordero Hígado Picado 21 Días,Carnes/Cordero,KG,15.38,6,
Cordero Hígado Picado Adobado,Carnes/Cordero,KG,27.58,2,
Cordero Hígado Picado Marinado,Carnes/Cordero,KG,16.91,2,
Cordero Riñones,Carnes/Cordero,KG,23.19,40,
Cordero Riñones 21 Días,Carnes/Cordero,KG,13.58,47,
Cordero Riñones 30 Días,Carnes/Cordero,KG,34.35,36,
Cordero Riñones Adobado,Carnes/Cordero,KG,20.04,16,
Cordero Riñones Marinado,Carnes/Cordero,KG,26.18,11,
Cordero Riñones En Dados,Carnes/Cordero,KG,12.27,8,
Cordero Riñones En Dados 21 Días,Carnes/Cordero,KG,28.31,12,
Cordero Riñones En Dados 30 Días,Carnes/Cordero,KG,18.96,10,
Cordero Riñones En Dados Adobado,Carnes/Cordero,KG,12.7,6,
Cordero Riñones Picado,Carnes/Cordero,KG,13.38,3,
Cordero Riñones Picado 21 Días,Carnes/Cordero,KG,20.37,4,
Cordero Riñones Picado Marinado,Carnes/Cordero,KG,16.99,5,
Cordero Corazón,Carnes/Cordero,KG,10.66,34,
Cordero Corazón 21 Días,Carnes/Cordero,KG,19.98,34,
Cordero Corazón 30 Días,Carnes/Cordero,KG,18.41,32,
Cordero Corazón Adobado,Carnes/Cordero,KG,17.57,41,
Cordero Corazón Marinado,Carnes/Cordero,KG,14.32,37,
Cordero Corazón En Dados,Carnes/Cordero,KG,23.54,6,
Cordero Corazón En Dados 21 Días,Carnes/Cordero,KG,31.11,12,
Cordero Corazón En Dados 30 Días,Carnes/Cordero,KG,39.32,7,
Cordero Corazón En Dados Adobado,Carnes/Cordero,KG,23.27,8,
Cordero Corazón En Dados Marinado,Carnes/Cordero,KG,12.81,8,
Cordero Corazón Picado,Carnes/Cordero,KG,16.2,4,
Cordero Corazón Picado 21 Días,Carnes/Cordero,KG,33.11,4,
Cordero Corazón Picado Adobado,Carnes/Cordero,KG,27.83,5,
Cordero Callos,Carnes/Cordero,KG,14.45,48,
Cordero Callos 21 Días,Carnes/Cordero,KG,21.5,52,
Cordero Callos 30 Días,Carnes/Cordero,KG,18.34,38,
Cordero Callos Marinado,Carnes/Cordero,KG,23.94,46,
Cordero Callos Adobado,Carnes/Cordero,KG,14.35,38,
Cordero Callos En Dados,Carnes/Cordero,KG,12.07,12,
Cordero Callos En Dados 21 Días,Carnes/Cordero,KG,13.72,12,
Cordero Callos En Dados Adobado,Carnes/Cordero,KG,14.59,5,
Cordero Callos En Dados Marinado,Carnes/Cordero,KG,22.85,7,
Cordero Callos Picado,Carnes/Cordero,KG,26.38,3,
Cordero Callos Picado 21 Días,Carnes/Cordero,KG,22.59,2,
Cordero Callos Picado Adobado,Carnes/Cordero,KG,22.42,5,
Cordero Callos Picado Marinado,Carnes/Cordero,KG,20.83,6,
Lechal Solomillo,Carnes/Lechal,KG,19.67,31,
Lechal Solomillo 21 Días,Carnes/Lechal,KG,21.35,53,
Lechal Solomillo 30 Días,Carnes/Lechal,KG,25.84,48,
Lechal Solomillo Marinado,Carnes/Lechal,KG,27.47,31,
Lechal Solomillo En Dados,Carnes/Lechal,KG,24.73,5,
Lechal Solomillo En Dados 21 Días,Carnes/Lechal,KG,28.62,7,
Lechal Solomillo En Dados 30 Días,Carnes/Lechal,KG,32.91,7,
Lechal Solomillo Picado,Carnes/Lechal,KG,30.59,5,
Lechal Solomillo Picado 21 Días,Carnes/Lechal,KG,29.97,5,
Lechal Solomillo Picado Marinado,Carnes/Lechal,KG,35.22,6,
Lechal Solomillo Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,20.98,0,
Lechal Solomillo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,28.12,0,
Lechal Solomillo Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,16.58,2,
Lechal Solomillo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,30.75,0,
Lechal Solomillo Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,21.99,0,
Lechal Solomillo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,17.26,2,
Lechal Solomillo Brocheta (Pack 4 Ud),Carnes/Lechal,UD,21.39,2,
Lechal Solomillo Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,18.42,0,
Lechal Solomillo Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,23.41,1,
Lechal Solomillo Brocheta (Pack 4 Ud) Adobado,Carnes/Lechal,UD,30.9,0,
Lechal Solomillo Brocheta (Pack 4 Ud) Marinado,Carnes/Lechal,UD,21.31,2,
Lechal Entrecot,Carnes/Lechal,KG,24.5,50,
Lechal Entrecot 21 Días,Carnes/Lechal,KG,22.67,42,
Lechal Entrecot 30 Días,Carnes/Lechal,KG,30.73,45,
Lechal Entrecot Adobado,Carnes/Lechal,KG,30.46,17,
Lechal Entrecot Marinado,Carnes/Lechal,KG,29.64,12,
Lechal Entrecot En Dados,Carnes/Lechal,KG,31.99,10,
Lechal Entrecot En Dados 21 Días,Carnes/Lechal,KG,23.57,9,
Lechal Entrecot En Dados 30 Días,Carnes/Lechal,KG,37.87,11,
Lechal Entrecot En Dados Adobado,Carnes/Lechal,KG,21.05,6,
Lechal Entrecot En Dados Marinado,Carnes/Lechal,KG,34.35,5,
Lechal Entrecot Picado,Carnes/Lechal,KG,19.78,6,
Lechal Entrecot Picado 21 Días,Carnes/Lechal,KG,32.73,5,
Lechal Entrecot Picado 30 Días,Carnes/Lechal,KG,43.13,5,
Lechal Entrecot Picado Adobado,Carnes/Lechal,KG,28.87,2,
Lechal Entrecot Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,17.03,2,
Lechal Entrecot Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,20.89,0,
Lechal Entrecot Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,31.4,2,
Lechal Entrecot Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,26.69,1,
Lechal Entrecot Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,29.44,2,
Lechal Entrecot Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,26.53,2,
Lechal Entrecot Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,32.99,1,
Lechal Entrecot Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,24.28,2,
Lechal Entrecot Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,20.27,2,
Lechal Entrecot Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,19.86,1,
Lechal Entrecot Brocheta (Pack 4 Ud),Carnes/Lechal,UD,15.98,2,
Lechal Entrecot Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,28.15,1,
Lechal Entrecot Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,27.04,0,
Lechal Entrecot Brocheta (Pack 4 Ud) Adobado,Carnes/Lechal,UD,19.46,1,
Lechal Chuletón,Carnes/Lechal,KG,16.04,55,
Lechal Chuletón 21 Días,Carnes/Lechal,KG,29.18,44,
Lechal Chuletón 30 Días,Carnes/Lechal,KG,41.31,40,
Lechal Chuletón Adobado,Carnes/Lechal,KG,25.39,37,
Lechal Chuletón Marinado,Carnes/Lechal,KG,29.68,53,
Lechal Chuletón En Dados,Carnes/Lechal,KG,32.47,11,
Lechal Chuletón En Dados 21 Días,Carnes/Lechal,KG,25.91,10,
Lechal Chuletón En Dados 30 Días,Carnes/Lechal,KG,28.23,9,
Lechal Chuletón Picado,Carnes/Lechal,KG,20.99,4,
Lechal Chuletón Picado 21 Días,Carnes/Lechal,KG,19.24,2,
Lechal Chuletón Picado 30 Días,Carnes/Lechal,KG,42.36,5,
Lechal Chuletón Picado Adobado,Carnes/Lechal,KG,29.94,4,
Lechal Chuletón Picado Marinado,Carnes/Lechal,KG,20.51,6,
Lechal Chuletón Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,15.71,0,
Lechal Chuletón Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,27.28,2,
Lechal Chuletón Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,34.48,1,
Lechal Chuletón Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,29.35,0,
Lechal Chuletón Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,25.41,1,
Lechal Chuletón Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,29.42,1,
Lechal Chuletón Brocheta (Pack 4 Ud),Carnes/Lechal,UD,15.61,0,
Lechal Chuletón Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,33.22,0,
Lechal Chuletón Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,29.48,1,
Lechal Lomo Alto,Carnes/Lechal,KG,18.58,43,
Lechal Lomo Alto 21 Días,Carnes/Lechal,KG,22.6,35,
Lechal Lomo Alto Marinado,Carnes/Lechal,KG,15.46,35,
Lechal Lomo Alto 30 Días,Carnes/Lechal,KG,23.64,15,
Lechal Lomo Alto Adobado,Carnes/Lechal,KG,15.47,19,
Lechal Lomo Alto En Dados,Carnes/Lechal,KG,22.31,8,
Lechal Lomo Alto En Dados 21 Días,Carnes/Lechal,KG,34.89,6,
Lechal Lomo Alto En Dados 30 Días,Carnes/Lechal,KG,26.64,7,
Lechal Lomo Alto En Dados Marinado,Carnes/Lechal,KG,18.85,11,
Lechal Lomo Alto Picado,Carnes/Lechal,KG,16.87,6,
Lechal Lomo Alto Picado 21 Días,Carnes/Lechal,KG,33.25,4,
Lechal Lomo Alto Picado 30 Días,Carnes/Lechal,KG,29.31,4,
Lechal Lomo Alto Picado Adobado,Carnes/Lechal,KG,26.2,3,
Lechal Lomo Alto Picado Marinado,Carnes/Lechal,KG,20.31,2,
Lechal Lomo Alto Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,29.69,1,
Lechal Lomo Alto Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,23.11,0,
Lechal Lomo Alto Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,33.1,1,
Lechal Lomo Alto Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,17.14,2,
Lechal Lomo Alto Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,25.06,1,
Lechal Lomo Alto Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,14.95,2,
Lechal Lomo Alto Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,28.18,1,
Lechal Lomo Alto Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,40.32,2,
Lechal Lomo Alto Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,18.22,1,
Lechal Lomo Alto Brocheta (Pack 4 Ud),Carnes/Lechal,UD,28.57,2,
Lechal Lomo Alto Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,18.92,1,
Lechal Lomo Alto Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,25.32,0,
Lechal Lomo Alto Brocheta (Pack 4 Ud) Adobado,Carnes/Lechal,UD,27.6,1,
Lechal Lomo Alto Brocheta (Pack 4 Ud) Marinado,Carnes/Lechal,UD,25.63,2,
Lechal Lomo Bajo,Carnes/Lechal,KG,15.94,48,
Lechal Lomo Bajo 21 Días,Carnes/Lechal,KG,16.91,34,
Lechal Lomo Bajo 30 Días,Carnes/Lechal,KG,39.34,35,
Lechal Lomo Bajo Adobado,Carnes/Lechal,KG,20.71,44,
Lechal Lomo Bajo Marinado,Carnes/Lechal,KG,26.3,31,
Lechal Lomo Bajo En Dados,Carnes/Lechal,KG,21.43,8,
Lechal Lomo Bajo En Dados 21 Días,Carnes/Lechal,KG,34.61,5,
Lechal Lomo Bajo En Dados 30 Días,Carnes/Lechal,KG,32.5,9,
Lechal Lomo Bajo En Dados Marinado,Carnes/Lechal,KG,30.09,6,
Lechal Lomo Bajo Picado,Carnes/Lechal,KG,16.28,3,
Lechal Lomo Bajo Picado 21 Días,Carnes/Lechal,KG,22.33,4,
Lechal Lomo Bajo Picado 30 Días,Carnes/Lechal,KG,42.88,5,
Lechal Lomo Bajo Picado Marinado,Carnes/Lechal,KG,23.72,2,
Lechal Lomo Bajo Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,23.91,0,
Lechal Lomo Bajo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,34.73,2,
Lechal Lomo Bajo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,31.75,2,
Lechal Lomo Bajo Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,20.32,2,
Lechal Lomo Bajo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,30.26,2,
Lechal Lomo Bajo Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,16.72,0,
Lechal Lomo Bajo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,18.54,1,
Lechal Lomo Bajo Brocheta (Pack 4 Ud),Carnes/Lechal,UD,27.49,1,
Lechal Lomo Bajo Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,30.22,0,
Lechal Lomo Bajo Brocheta (Pack 4 Ud) Adobado,Carnes/Lechal,UD,15.73,0,
Lechal Aguja,Carnes/Lechal,KG,26.07,55,
Lechal Aguja 21 Días,Carnes/Lechal,KG,22.25,34,
Lechal Aguja 30 Días,Carnes/Lechal,KG,28.3,34,
Lechal Aguja Adobado,Carnes/Lechal,KG,20.49,41,
Lechal Aguja Marinado,Carnes/Lechal,KG,29.67,53,
Lechal Aguja En Dados,Carnes/Lechal,KG,17.55,8,
Lechal Aguja En Dados 21 Días,Carnes/Lechal,KG,36.63,6,
Lechal Aguja En Dados 30 Días,Carnes/Lechal,KG,39.67,7,
Lechal Aguja En Dados Marinado,Carnes/Lechal,KG,31.64,9,
Lechal Aguja Picado,Carnes/Lechal,KG,22.47,2,
Lechal Aguja Picado 21 Días,Carnes/Lechal,KG,29.61,2,
Lechal Aguja Picado 30 Días,Carnes/Lechal,KG,36.52,6,
Lechal Aguja Picado Marinado,Carnes/Lechal,KG,30.67,4,
Lechal Aguja Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,23.79,2,
Lechal Aguja Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,25.56,1,
Lechal Aguja Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,42.53,2,
Lechal Aguja Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,19.58,0,
Lechal Aguja Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,28.59,1,
Lechal Aguja Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,27.41,1,
Lechal Aguja Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,37.66,1,
Lechal Aguja Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,25.66,1,
Lechal Aguja Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,29.78,0,
Lechal Aguja Brocheta (Pack 4 Ud),Carnes/Lechal,UD,25.33,0,
Lechal Aguja Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,23.54,0,
Lechal Aguja Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,25.13,1,
Lechal Aguja Brocheta (Pack 4 Ud) Marinado,Carnes/Lechal,UD,27.79,2,
Lechal Morcillo,Carnes/Lechal,KG,14.41,33,
Lechal Morcillo 21 Días,Carnes/Lechal,KG,18.86,40,
Lechal Morcillo 30 Días,Carnes/Lechal,KG,41.92,55,
Lechal Morcillo Adobado,Carnes/Lechal,KG,21.66,54,
Lechal Morcillo Marinado,Carnes/Lechal,KG,30.24,25,
Lechal Morcillo En Dados,Carnes/Lechal,KG,33.54,10,
Lechal Morcillo En Dados 21 Días,Carnes/Lechal,KG,38.15,12,
Lechal Morcillo En Dados 30 Días,Carnes/Lechal,KG,30.23,6,
Lechal Morcillo En Dados Marinado,Carnes/Lechal,KG,35.45,6,
Lechal Morcillo Picado,Carnes/Lechal,KG,25.37,6,
Lechal Morcillo Picado 21 Días,Carnes/Lechal,KG,36.53,2,
Lechal Morcillo Picado 30 Días,Carnes/Lechal,KG,42.41,4,
Lechal Morcillo Picado Adobado,Carnes/Lechal,KG,30.97,4,
Lechal Morcillo Picado Marinado,Carnes/Lechal,KG,33.78,3,
Lechal Morcillo Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,15.53,2,
Lechal Morcillo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,22.52,1,
Lechal Morcillo Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,16.06,0,
Lechal Morcillo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,30.36,0,
Lechal Morcillo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,30.69,0,
Lechal Morcillo Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,32.52,1,
Lechal Morcillo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,25.08,2,
Lechal Morcillo Brocheta (Pack 4 Ud),Carnes/Lechal,UD,21.13,2,
Lechal Morcillo Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,22.21,0,
Lechal Morcillo Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,40.3,1,
Lechal Morcillo Brocheta (Pack 4 Ud) Marinado,Carnes/Lechal,UD,32.34,0,
Lechal Jarrete,Carnes/Lechal,KG,17.0,38,
Lechal Jarrete 21 Días,Carnes/Lechal,KG,20.89,38,
Lechal Jarrete 30 Días,Carnes/Lechal,KG,23.31,39,
Lechal Jarrete Adobado,Carnes/Lechal,KG,16.57,41,
Lechal Jarrete Marinado,Carnes/Lechal,KG,20.58,30,
Lechal Jarrete En Dados,Carnes/Lechal,KG,25.14,12,
Lechal Jarrete En Dados 21 Días,Carnes/Lechal,KG,37.58,10,
Lechal Jarrete En Dados 30 Días,Carnes/Lechal,KG,34.3,12,
Lechal Jarrete En Dados Adobado,Carnes/Lechal,KG,29.63,8,
Lechal Jarrete En Dados Marinado,Carnes/Lechal,KG,29.79,8,
Lechal Jarrete Picado,Carnes/Lechal,KG,16.87,3,
Lechal Jarrete Picado 21 Días,Carnes/Lechal,KG,24.84,2,
Lechal Jarrete Picado 30 Días,Carnes/Lechal,KG,30.57,4,
Lechal Jarrete Picado Marinado,Carnes/Lechal,KG,33.67,6,
Lechal Jarrete Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,24.32,0,
Lechal Jarrete Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,22.19,0,
Lechal Jarrete Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,21.01,2,
Lechal Jarrete Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,29.11,1,
Lechal Jarrete Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,24.84,2,
Lechal Jarrete Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,23.48,0,
Lechal Jarrete Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,32.13,1,
Lechal Jarrete Brocheta (Pack 4 Ud),Carnes/Lechal,UD,26.28,0,
Lechal Jarrete Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,29.5,0,
Lechal Jarrete Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,28.69,0,
Lechal Jarrete Brocheta (Pack 4 Ud) Adobado,Carnes/Lechal,UD,25.98,1,
Lechal Falda,Carnes/Lechal,KG,16.92,48,
Lechal Falda 21 Días,Carnes/Lechal,KG,21.63,40,
Lechal Falda Adobado,Carnes/Lechal,KG,30.31,40,
Lechal Falda 30 Días,Carnes/Lechal,KG,24.61,18,
Lechal Falda Marinado,Carnes/Lechal,KG,28.05,21,
Lechal Falda En Dados,Carnes/Lechal,KG,34.26,6,
Lechal Falda En Dados 21 Días,Carnes/Lechal,KG,33.76,6,
Lechal Falda En Dados 30 Días,Carnes/Lechal,KG,36.16,12,
Lechal Falda En Dados Adobado,Carnes/Lechal,KG,19.4,9,
Lechal Falda Picado,Carnes/Lechal,KG,26.26,4,
Lechal Falda Picado 21 Días,Carnes/Lechal,KG,27.94,6,
Lechal Falda Picado Adobado,Carnes/Lechal,KG,20.02,5,
Lechal Falda Picado Marinado,Carnes/Lechal,KG,18.69,5,
Lechal Falda Hamburguesa 120 G (Pack 2 Ud),Carnes/Lechal,UD,23.01,1,
Lechal Falda Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,32.26,0,
Lechal Falda Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Lechal,UD,29.1,1,
Lechal Falda Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,21.14,0,
Lechal Falda Hamburguesa 180 G (Pack 2 Ud),Carnes/Lechal,UD,25.09,0,
Lechal Falda Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Lechal,UD,25.7,0,
Lechal Falda Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Lechal,UD,35.6,1,
Lechal Falda Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Lechal,UD,30.8,2,
Lechal Falda Brocheta (Pack 4 Ud),Carnes/Lechal,UD,28.27,2,
Lechal Falda Brocheta (Pack 4 Ud) 21 Días,Carnes/Lechal,UD,17.95,2,
Lechal Falda Brocheta (Pack 4 Ud) 30 Días,Carnes/Lechal,UD,26.35,0,
Lechal Falda Brocheta (Pack 4 Ud) Marinado,Carnes/Lechal,UD,29.53,0,
Lechal Costilla,Carnes/Lechal,KG,23.99,44,
Lechal Costilla 21 Días,Carnes/Lechal,KG,27.81,48,
Lechal Costilla 30 Días,Carnes/Lechal,KG,24.03,48,
Lechal Costilla Adobado,Carnes/Lechal,KG,30.45,39,
Lechal Costilla Marinado,Carnes/Lechal,KG,18.77,51,
Tomate Pera,Verduras,KG,1.79,15,
Tomate Pera Ecológico,Verduras,KG,3.09,0,
Tomate Pera Iv Gama (Lavado Y Cortado),Verduras,KG,2.44,7,
Tomate Pera Asado (Listo Para Usar),Verduras,KG,3.23,4,
Tomate Pera Pelado,Verduras,KG,2.0,7,
Tomate Rama,Verduras,KG,1.78,8,
Tomate Rama Ecológico,Verduras,KG,2.0,4,
Tomate Rama Iv Gama (Lavado Y Cortado),Verduras,KG,3.3,11,
Tomate Rama Asado (Listo Para Usar),Verduras,KG,3.05,6,
Tomate Rama Pelado,Verduras,KG,3.37,15,
Tomate Cherry,Verduras,KG,2.0,0,
Tomate Cherry Ecológico,Verduras,KG,2.18,6,
Tomate Cherry Iv Gama (Lavado Y Cortado),Verduras,KG,2.08,12,
Tomate Cherry Asado (Listo Para Usar),Verduras,KG,2.0,2,
Tomate Cherry Pelado,Verduras,KG,1.63,10,
Cebolla,Verduras,KG,1.12,20,
Cebolla Ecológico,Verduras,KG,1.02,4,
Cebolla Iv Gama (Lavado Y Cortado),Verduras,KG,2.68,6,
Cebolla Asado (Listo Para Usar),Verduras,KG,3.32,1,
Cebolla Pelado,Verduras,KG,3.12,2,
